old_trait_name,breedbase_id,breedbase_name,breedbase_column_header
straw breakage,CO_323:0005520,Straw breakage - %,Straw breakage - %|CO_323:0005520
test weight,CO_323:0005521,Grain test weight - g/L,Grain test weight - g/L|CO_323:0005521
tillers per plant,CO_323:0005522,Tiller number - tiller/plant,Tiller number - tiller/plant|CO_323:0005522
tillers per plant T1,COMP:0000017,Tiller number - tiller/plant|timepoint 1,Tiller number - tiller/plant|timepoint 1|COMP:0000017
tillers per plant T2,COMP:0000018,Tiller number - tiller/plant|timepoint 2,Tiller number - tiller/plant|timepoint 2|COMP:0000018
tillers per plant T3,COMP:0000019,Tiller number - tiller/plant|timepoint 3,Tiller number - tiller/plant|timepoint 3|COMP:0000019
tillers per plant T4,COMP:0000020,Tiller number - tiller/plant|timepoint 4,Tiller number - tiller/plant|timepoint 4|COMP:0000020
tillers per plant T5,COMP:0000021,Tiller number - tiller/plant|timepoint 5,Tiller number - tiller/plant|timepoint 5|COMP:0000021
tillers per plant T6,COMP:0000022,Tiller number - tiller/plant|timepoint 6,Tiller number - tiller/plant|timepoint 6|COMP:0000022
tillers per plant T7,COMP:0000023,Tiller number - tiller/plant|timepoint 7,Tiller number - tiller/plant|timepoint 7|COMP:0000023
tillers per plant Max,CO_323:0005523,Max tiller number - tiller/plant,Max tiller number - tiller/plant|CO_323:0005523
Weed percentage,CO_323:0005524,Weed ground cover - %,Weed ground cover - %|CO_323:0005524
Weed percentage T1,COMP:0000012,Weed ground cover - %|timepoint 1,Weed ground cover - %|timepoint 1|COMP:0000012
Weed percentage T2,COMP:0000013,Weed ground cover - %|timepoint 2,Weed ground cover - %|timepoint 2|COMP:0000013
Weed percentage T3,COMP:0000014,Weed ground cover - %|timepoint 3,Weed ground cover - %|timepoint 3|COMP:0000014
Weed percentage T4,COMP:0000015,Weed ground cover - %|timepoint 4,Weed ground cover - %|timepoint 4|COMP:0000015
Weed percentage T5,COMP:0000016,Weed ground cover - %|timepoint 5,Weed ground cover - %|timepoint 5|COMP:0000016
African stem rust severity,REMOVE,,
BYDV rating (0-8),CO_323:0005525,BYDV 0-8 susceptibility rating - 0-8 BYDV Disease Rating,BYDV 0-8 susceptibility rating - 0-8 BYDV Disease Rating|CO_323:0005525
BYDV rating (0-9),CO_323:0005526,BYDV 0-9 susceptibility rating - 0-9 BYDV Disease Rating,BYDV 0-9 susceptibility rating - 0-9 BYDV Disease Rating|CO_323:0005526
CRR Severity,CO_323:0005527,Common Root Rot severity - %,Common Root Rot severity - %|CO_323:0005527
DON,CO_323:0000344,Grain Deoxynivalenol content - ppm,Grain Deoxynivalenol content - ppm|CO_323:0000344
FHB Incidence,CO_323:0005528,Fusarium Head Blight incidence - %,Fusarium Head Blight incidence - %|CO_323:0005528
FHB reaction type (0-5),CO_323:0005529,Fusarium Head Blight reaction type - 0-5 FHB Reaction Type Rating,Fusarium Head Blight reaction type - 0-5 FHB Reaction Type Rating|CO_323:0005529
FHB reaction type (0-9),CO_323:0005530,Fusarium Head Blight reaction type - 0-9 FHB Reaction Type Rating,Fusarium Head Blight reaction type - 0-9 FHB Reaction Type Rating|CO_323:0005530
FHB Severity,CO_323:0005531,Fusarium Head Blight severity - %,Fusarium Head Blight severity - %|CO_323:0005531
